User_ID,Is_Response
id80132,not happy
id80133,not happy
id80134,not happy
id80135,happy
id80136,not happy
id80137,happy
id80138,not happy
id80139,happy
id80140,happy
id80141,not happy
id80142,happy
id80143,happy
id80144,not happy
id80145,happy
id80146,happy
id80147,happy
id80148,not happy
id80149,not happy
id80150,happy
id80151,not happy
id80152,not happy
id80153,happy
id80154,not happy
id80155,happy
id80156,happy
id80157,not happy
id80158,happy
id80159,happy
id80160,happy
id80161,not happy
id80162,not happy
id80163,happy
id80164,happy
id80165,happy
id80166,happy
id80167,happy
id80168,not happy
id80169,happy
id80170,not happy
id80171,not happy
id80172,happy
id80173,happy
id80174,happy
id80175,happy
id80176,happy
id80177,happy
id80178,not happy
id80179,happy
id80180,happy
id80181,happy
id80182,happy
id80183,not happy
id80184,happy
id80185,happy
id80186,happy
id80187,happy
id80188,happy
id80189,not happy
id80190,happy
id80191,happy
id80192,happy
id80193,not happy
id80194,happy
id80195,happy
id80196,not happy
id80197,not happy
id80198,happy
id80199,happy
id80200,happy
id80201,happy
id80202,happy
id80203,happy
id80204,happy
id80205,not happy
id80206,happy
id80207,happy
id80208,not happy
id80209,not happy
id80210,happy
id80211,happy
id80212,not happy
id80213,happy
id80214,not happy
id80215,not happy
id80216,happy
id80217,happy
id80218,happy
id80219,not happy
id80220,happy
id80221,happy
id80222,happy
id80223,happy
id80224,happy
id80225,not happy
id80226,happy
id80227,happy
id80228,not happy
id80229,not happy
id80230,happy
id80231,happy
id80232,happy
id80233,happy
id80234,not happy
id80235,not happy
id80236,happy
id80237,not happy
id80238,happy
id80239,not happy
id80240,not happy
id80241,happy
id80242,not happy
id80243,happy
id80244,happy
id80245,happy
id80246,happy
id80247,happy
id80248,happy
id80249,not happy
id80250,not happy
id80251,happy
id80252,happy
id80253,happy
id80254,happy
id80255,happy
id80256,happy
id80257,not happy
id80258,happy
id80259,happy
id80260,not happy
id80261,happy
id80262,happy
id80263,happy
id80264,not happy
id80265,happy
id80266,not happy
id80267,happy
id80268,happy
id80269,not happy
id80270,not happy
id80271,not happy
id80272,not happy
id80273,not happy
id80274,not happy
id80275,not happy
id80276,happy
id80277,happy
id80278,happy
id80279,not happy
id80280,not happy
id80281,happy
id80282,not happy
id80283,happy
id80284,happy
id80285,happy
id80286,not happy
id80287,not happy
id80288,happy
id80289,happy
id80290,not happy
id80291,happy
id80292,not happy
id80293,happy
id80294,happy
id80295,happy
id80296,not happy
id80297,happy
id80298,happy
id80299,happy
id80300,not happy
id80301,not happy
id80302,happy
id80303,happy
id80304,happy
id80305,happy
id80306,happy
id80307,not happy
id80308,happy
id80309,happy
id80310,happy
id80311,happy
id80312,happy
id80313,not happy
id80314,happy
id80315,not happy
id80316,happy
id80317,happy
id80318,not happy
id80319,happy
id80320,not happy
id80321,happy
id80322,happy
id80323,happy
id80324,not happy
id80325,not happy
id80326,happy
