User_ID,Browser_Chrome,Browser_Edge,Browser_Firefox,Browser_IE,Browser_Opera,Browser_Safari,Device_Desktop,Device_Mobile,Device_Tablet,Is_Response,sentiment
id10326,0,1,0,0,0,0,0,1,0,0.0,0.388095238095
id10327,0,0,0,1,0,0,0,1,0,0.0,-0.01625
id10328,0,0,1,0,0,0,0,0,1,0.0,0.2125
id10329,0,0,0,1,0,0,1,0,0,1.0,0.95
id10330,0,1,0,0,0,0,0,0,1,0.0,0.404166666667
id10331,0,0,0,1,0,0,1,0,0,1.0,0.418518518519
id10332,0,0,1,0,0,0,0,0,1,0.0,0.283333333333
id10333,1,0,0,0,0,0,0,1,0,1.0,0.167708333333
id10334,0,0,0,1,0,0,1,0,0,1.0,0.366071428571
id10335,1,0,0,0,0,0,0,0,1,0.0,0.683333333333
id10336,0,0,0,1,0,0,0,0,1,1.0,0.7
id10337,0,0,0,1,0,0,0,1,0,1.0,0.55
id10338,0,1,0,0,0,0,0,1,0,0.0,0.414123376623
id10339,0,0,0,1,0,0,1,0,0,1.0,0.273333333333
id10340,1,0,0,0,0,0,1,0,0,1.0,0.488888888889
id10341,0,0,1,0,0,0,1,0,0,1.0,0.513333333333
id10342,0,0,1,0,0,0,0,0,1,0.0,0.0787878787879
id10343,1,0,0,0,0,0,1,0,0,0.0,0.0333333333333
id10344,1,0,0,0,0,0,0,1,0,1.0,0.35641025641
id10345,0,0,1,0,0,0,1,0,0,0.0,0.353571428571
id10346,0,0,1,0,0,0,0,1,0,0.0,0.2375
id10347,0,0,1,0,0,0,1,0,0,1.0,0.325
id10348,0,1,0,0,0,0,0,0,1,0.0,0.0238636363636
id10349,1,0,0,0,0,0,1,0,0,1.0,0.377916666667
id10350,1,0,0,0,0,0,1,0,0,1.0,0.207751623377
id10351,0,0,0,0,1,0,0,1,0,0.0,0.125342712843
id10352,0,0,0,1,0,0,0,1,0,1.0,0.693333333333
id10353,0,0,1,0,0,0,1,0,0,1.0,0.377191558442
id10354,0,0,1,0,0,0,0,1,0,1.0,0.184126984127
id10355,0,0,1,0,0,0,0,0,1,0.0,0.291666666667
id10356,0,0,1,0,0,0,0,0,1,0.0,0.6
id10357,0,0,1,0,0,0,0,0,1,1.0,0.228571428571
id10358,1,0,0,0,0,0,0,1,0,1.0,0.153571428571
id10359,0,0,1,0,0,0,1,0,0,1.0,0.217113095238
id10360,0,0,1,0,0,0,1,0,0,1.0,0.291581632653
id10361,0,0,1,0,0,0,0,0,1,1.0,0.695238095238
id10362,0,0,0,1,0,0,1,0,0,0.0,0.419480519481
id10363,1,0,0,0,0,0,0,0,1,1.0,0.30625
id10364,0,0,1,0,0,0,1,0,0,0.0,0.268282312925
id10365,0,1,0,0,0,0,1,0,0,0.0,0.2
id10366,0,0,1,0,0,0,0,1,0,1.0,0.388888888889
id10367,0,0,0,1,0,0,0,1,0,1.0,0.337009803922
id10368,0,1,0,0,0,0,0,0,1,1.0,0.364444444444
id10369,1,0,0,0,0,0,1,0,0,1.0,0.633333333333
id10370,0,0,0,1,0,0,1,0,0,1.0,0.105
id10371,0,0,0,1,0,0,1,0,0,1.0,0.318518518519
id10372,0,1,0,0,0,0,0,1,0,0.0,0.475992063492
id10373,1,0,0,0,0,0,0,1,0,1.0,0.418333333333
id10374,0,0,0,1,0,0,0,1,0,1.0,0.304166666667
id10375,0,1,0,0,0,0,1,0,0,1.0,0.443265993266
id10376,0,0,1,0,0,0,0,1,0,1.0,0.6
id10377,0,0,1,0,0,0,0,0,1,0.0,0.327884615385
id10378,0,0,1,0,0,0,0,0,1,1.0,0.591666666667
id10379,0,0,1,0,0,0,0,1,0,1.0,0.9
id10380,0,0,0,1,0,0,1,0,0,1.0,0.162337662338
id10381,1,0,0,0,0,0,1,0,0,1.0,0.41328125
id10382,0,0,1,0,0,0,0,1,0,1.0,0.605
id10383,0,0,1,0,0,0,0,1,0,0.0,0.0
id10384,1,0,0,0,0,0,1,0,0,1.0,0.35
id10385,0,0,1,0,0,0,0,0,1,1.0,0.42380952381
id10386,1,0,0,0,0,0,1,0,0,1.0,0.517171717172
id10387,0,0,0,1,0,0,0,1,0,0.0,0.216666666667
id10388,1,0,0,0,0,0,1,0,0,1.0,0.508333333333
id10389,0,0,1,0,0,0,1,0,0,1.0,0.287244897959
id10390,0,0,1,0,0,0,1,0,0,0.0,0.25
id10391,0,0,1,0,0,0,1,0,0,0.0,0.3
id10392,0,1,0,0,0,0,1,0,0,1.0,1.0
id10393,0,0,1,0,0,0,0,1,0,1.0,0.339268320965
id10394,0,1,0,0,0,0,1,0,0,1.0,0.211111111111
id10395,0,0,1,0,0,0,0,1,0,1.0,0.5
id10396,0,0,0,0,0,1,0,1,0,1.0,0.680208333333
id10397,1,0,0,0,0,0,0,0,1,1.0,0.47869047619
id10398,0,0,1,0,0,0,0,0,1,1.0,0.7
id10399,0,0,0,1,0,0,0,1,0,0.0,0.0666666666667
id10400,1,0,0,0,0,0,0,1,0,1.0,0.31130952381
id10401,0,1,0,0,0,0,1,0,0,1.0,0.0
id10402,0,0,1,0,0,0,0,1,0,0.0,0.3125
id10403,0,1,0,0,0,0,0,0,1,0.0,0.353571428571
id10404,0,0,0,0,1,0,1,0,0,1.0,0.196428571429
id10405,0,0,0,1,0,0,1,0,0,1.0,0.45
id10406,0,0,1,0,0,0,0,1,0,0.0,0.25
id10407,0,0,1,0,0,0,0,0,1,1.0,0.4975
id10408,0,1,0,0,0,0,1,0,0,0.0,0.185795454545
